Organization,Feedback Content,Feedback Link,Page
Dr. Bublitz & Prof. Douglas (Germany),"This feedback on the proposed EU Artificial Intelligence Act draws attention to shortcomings with respect to one specific issue: manipulative influences via AI systems on the thought and behavior of persons. It is jointly authored by Dr. Christoph Bublitz, a scholar on human rights and a co-PI in the research project Hybrid Mind: On the Blending of Artificial and Organic intelligence at the University of Hamburg; and Prof. Thomas Douglas, PI...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665640_en,1
Institute for Social Science Research e.V. (ISF Munich) (Germany),The Institute for Social Science Research e.V. (ISF Munich) (Germany) welcomes the EU proposal on the regulation of AI. From our own research we would like to contribute to the consultation: On risk assessment (see 5.2.2) as well as classification of the risk of AI systems (Art.7): The limits of operationalizability of risks must also be considered; in particular regarding latent non-reflective harm to individuals and society. In addition to...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665639_en,1
World Employment Confederation - Europe (Belgium),"Main points: - WEC-Europe welcomes the creation of a regulatory framework of AI that will improve predictability and a level playing field for the application of AI. - Following its Code of Conduct, WEC-Europe is dedicated to improving labour market inclusiveness and fighting (un)conscious human bias from the recruitment process, irrespective of the software used in its services. - WEC-Europe emphasizes that AI is a tool that can be...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665638_en,1
Getty Images (UK) Ltd (United Kingdom),Please see the attached recommendations which mainly focus on Article 52(3).,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665637_en,1
Amnesty International (Belgium),The attached position paper sets out Amnesty International’s concerns around the key gaps and shortcomings in the EU’s proposal for an Artificial Intelligence Act. As it stands the proposed regulation falls far short of the measures that will be required to meaningfully protect people from harmful AI systems in the EU and globally. Amnesty International puts forward several recommendations for strengthening human rights protections in the...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665634_en,1
DIGITALEUROPE (Belgium),"Please find attached our detailed feedback, and a summary below. DIGITALEUROPE welcomes the European Commission’s legislative proposal for a Regulation laying down harmonised rules on artificial intelligence (‘AI Act’). We have been a key partner to EU institutions on AI topics for years, having notably participated in the work of the Commission’s AI High-Level Expert Group. We are committed to keep supporting EU policymakers and to actively...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665633_en,1
BETTER FINANCE (Belgium),Please see document attached,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665632_en,1
ALLAI (Netherlands),See attached file,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665629_en,1
European Federation of Psychologists’ Associations (EFPA) (Belgium),"EFPA, The European Federation of Psychologists (established 1981) has the mission to develop and apply psychology for a positive impact on European society and beyond. EFPA publications are regularly consulted to inform EU policy and process. Now consisting of 38 European country associations, EFPA represents almost half of the world’s Psychologists whose members are required to observe professional standards. Specifically, EFPA Board of...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665628_en,1
Håkan Burden (Sweden),"Please, see attached file since our response requires more than 4000 characters. Best, Håkan",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665627_en,1
University of Cambridge (Leverhulme Centre for the Future of Intelligence and Centre for the Study of Existential Risk) (United Kingdom),"We are a group of academic researchers on AI with positions at the University of Cambridge’s Leverhulme Centre for the Future of Intelligence (LCFI) and Centre for the Study of Existential Risk (CSER), and the Universitat Politecnica de Valencia. We have published dozens of academic papers and reports on the ethics and governance of artificial intelligence. Our past work has included submissions on the HLEG’s Draft Ethics Guidelines and the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665626_en,2
Avaaz Foundation (United States),"Avaaz is the world’s largest online civic movement. Our 69 million members, including 22 million in Europe, campaign for urgent action on the key issues of our time - the climate crisis, ecological collapse and the erosion of democracy. We have been at the forefront of research on online disinformation, and this has led us to a deep understanding of the role artificial intelligence (“AI”) can have in exacerbating risks of harm to fundamental...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665625_en,2
Johner Institut GmbH (Germany),Please find attached our input to the proposed regulation of Artificial Intelligence. We thank the Commission for the opportunity to provide feedback and appreciate any further dialogue. If you have any questions please feel free to contact us.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665624_en,2
Climate Change AI (United States),"Climate change is one of the most urgent challenges of our time, and addressing it will require rapid and concerted action across many sectors of the economy. As AI has increasingly transformational effects on society, it is therefore critical to holistically account for the effects — both positive and negative — that AI may have on climate change. In this light, we would like to suggest that the proposed regulation more explicitly account for...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665623_en,2
5G Automotive Association (Germany),"The 5G Automotive Association (5GAA) welcomes the opportunity to provide feedback on the Artificial Intelligence Act and share our recommendations to help the EU adopt future-proof legislation accelerating the market entry of connected and automated vehicles and smart mobility services while ensuring innovation in the long run. The EU is likely to become one of the first, if not the first, regions of the world to define rules about the placing...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665618_en,2
Fédération Française de l'Assurance (France),"The French Insurance Federation (FFA) supports the implementation of a framework for an ethical use of AI: human-centric, unbiased, transparent, and explainable. French insurers welcome the Commission's proposal for a risk-based regulatory framework with differentiated rules according to the risks presented by AI uses that makes it possible to encourage technological innovation, while guaranteeing European values. However, FFA believes that...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665617_en,2
Federation of Craft Businesses in the automotive sector and in mobility services (FNA) (France),Federation of Craft Businesses in the automotive sector and in mobility services (FNA) would like to thank the authors of the Proposal of European Regulation laying down harmonized rules on Artificial Intelligence (AI) to inform citizens and stakeholders about the Commission's work in order to allow them to provide feedback on the intended initiative and to participate effectively in future consultation activities. FNA representatives also...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665616_en,2
IBM (United States),"IBM welcomes the opportunity to provide comments to the European Commission's draft Artificial Intelligence Act. We welcome the Commission’s risk-based approach to regulating specific uses of AI systems, not the AI technology itself. IBM believes certain aspects of the Regulation could be clarified, especially to better delineate AI tools and AI systems and outline the resulting obligations of the various actors involved in supplying...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665615_en,2
Technology Industries of Finland (Finland),"The Commission has come along with an ambitious proposal to regulate AI. Getting the balance right in ensuring that obligations drive policy outcomes, while allowing AI innovators sufficient flexibility in meeting those obligations, is going to be critical. Especially the ethical requirements will drive forward trust and sustainable use of AI solutions. AI one of the key technologies for reforming the European industry as AI-driven analysis...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665614_en,2
The Future Society (Belgium),"The Future Society (TFS) is a global nonprofit advancing the responsible adoption of Artificial Intelligence (AI) for the benefit of humanity. With a network of policy researchers and practitioners in the EU, the US and all over the world, we build understanding of AI and its impact, we build bridges between relevant constituents, and we build innovative solutions to help communities and people all over the world enjoy the benefits of AI and...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665611_en,2
ABB (Belgium),ABB welcomes the opportunity to comment on the European Commission proposal for a Regulation laying down harmonised rules on Artificial Intelligence (“AI Act”). The AI Act is an important step towards the ambitious goal to promote and facilitate the uptake of trustworthy AI in Europe. We believe the debate should equally balance a discussion on potential risks with a focus on the significant opportunities linked to the uptake of AI in...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665610_en,3
Governance in AI Research Group (GAIRG) (United Kingdom),"We welcome the proportionate risk-based approach of this proposed Regulation and its attempts to support innovation while protecting safety. We also welcome the important observation that the legislation shall apply to users of AI systems originating from third countries outside the EU. However, we have some concerns and suggestions for improvements, which are detailed in the attached document.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665609_en,3
LA POSTE (France),"Selon Le Groupe La Poste, le Hub France IA et la Villa Numeris, l’intelligence artificielle (IA) ouvre des possibilités multiples pour l’innovation et la croissance et nous souhaitons saisir tout son potentiel. Le Groupe La Poste, qui place le numérique et l’IA parmi ses axes prioritaires et stratégiques de développement dans le cadre notamment du plan stratégique de « La Poste 2030, engagée pour vous », le Hub France IA, association pour la...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665608_en,3
Facebook Ireland Limited (Ireland),"Facebook Ireland (“Facebook”) welcomes the opportunity to provide comments on the European Commission’s proposed Artificial Intelligence Act. AI is a uniquely powerful technology that must be used responsibly, and we believe thoughtful regulation can help ensure this responsible use. Please see the attached document for Facebook's response to the consultation on the proposed AI Act.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665607_en,3
European Healthcare Fraud and Corruption Network-AI Working Group (Belgium),"EHFCN AI Working Group welcomes the proposal of publishing a regulation in the field of Artificial Intelligence (AI), which will facilitate the direct establishment of common regulatory rules for all Member States. Feedback will be focused on the dispositions related to Public Health. Creating a European Artificial Intelligence Board is a step in the right direction, but the relevant articles (56 & 57) should also include a more rigorous...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665605_en,3
Siemens Healthineers (Germany),"Siemens Healthineers welcomes the initiative of the European Commission to set a global benchmark for deployment of ethical and legal artificial intelligence (AI) applications. AI has already brought numerous advancements to the field of healthcare by providing assistance to medical professionals in tasks as diverse as diagnosis, treatment, therapy, monitoring patients’ health, and even the management of hospitals and care institutions. We are...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665604_en,3
European AI Forum (Germany),"Please find attached joint response to the European Commission's proposal on the regulation of Artificial Intelligence by KI Bundesverband (Germany), Hub France IA, AI Austria, AI Cluster Bulgaria, Fundacja Digital Poland and CroAI (Croatia). We want to express our sincere gratitude to the Commission for the opportunity to provide our feedback. We appreciate any further dialogue and joint discussions to foster an innovative environment for AI...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665603_en,3
KI Bundesverband e.V. (Germany),Please find attached KI Bundesverband's response to the European Commission's proposal on the regulation of Artificial Intelligence. We want to express our sincere gratitude to the Commission for the opportunity to provide our feedback. We appreciate any further dialogue and joint discussions to foster an innovative environment for AI made in Europe.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665602_en,3
Dessislava Fessenko (Bulgaria),"This position paper focuses on analysis of the proposal for a regulation of the European Parliament and the Council laying down harmonized rules on artificial intelligence (Artificial Intelligence Act) and recommendations on the conceptual design of and certain fundamental rules under the proposal with view to the need of an introspective, smart and fair legal framework for design, development, deployment and use of AI in the EU. Please refer...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665600_en,3
Engine (United States),"Engine is a non-profit technology policy, research, and advocacy organization based in Washington, D.C., that bridges the gap between policymakers and startups. Engine works with government and a community of thousands of high-technology, growth-oriented startups to support the development of technology entrepreneurship. We appreciate the Commission’s interest in mitigating potential risks posed by AI technology but believe that the proposal...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665599_en,3
CFE-CGC (France),"La Confédération française de l’encadrement - Confédération générale des cadres (CFE-CGC) est un syndicat français de salariés fondé le 15 octobre 1944 sous le nom de Confédération générale des cadres (CGC), qui présente la caractéristique de défendre les intérêts d’une catégorie professionnelle spécifique, l’encadrement. La CFE-CGC salue la proposition de règlement de la Commission européenne établissant un cadre de régulation en matière...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665597_en,4
Martin Haimerl (Germany),"Sehr geehrte Damen und Herren, vielen Dank für die Gelegenheit, Feedback zum Entwurf der Verordnung für Künstliche Intelligenz geben zu können. Die gesammelten Anmerkungen zu dem Entwurf entnehmen Sie bitte dem Dokument im Anhang. Bei Rückfragen können Sie sich gerne an mich wenden. Mit freundlichen Grüßen Martin Haimerl",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665596_en,4
INFOBALT (Lithuania),"INFOBALT welcomes the European Commission’s Commission for its leadership in developing a regulatory framework for the responsible development and use of artificial intelligence technologies (“AI”), and the opportunity to provide feedback via the public consultation phase. We are pleased to see the Commission continue this open engagement with stakeholders in the development of the right policy and investment framework for AI. Our members...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665595_en,4
LinkedIn (Ireland),"LinkedIn joins Microsoft, our parent company, in welcoming the opportunity to comment on the European Commission’s proposed Regulation for harmonised rules on AI (the “AI Act” or the “Act”) and the New Coordinated Plan on AI. We are providing the following brief supplement to Microsoft’s submission to share comments specifically concerning the draft AI Act’s positioning with respect to AI systems used in recruiting and workforce management.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665594_en,4
Global Legal Entity Identifier Foundation (GLEIF) (Switzerland),"The Global Legal Entity Identifier Foundation (GLEIF) is pleased to provide comments to the European Commission's Proposed EU Artificial Intelligence Regulation. GLEIF will focus its comments on how using the Legal Entity Identifier (LEI) in the AI framework can enhance traceability and transparency. GLEIF agrees that the nature of AI often relies on large and varied datasets, which significantly impacts the quality and reliability of the AI...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665591_en,4
CroAI - Croatian AI Association (Croatia),"Putting startups at the heart of AI innovation - CroAI’s opinion on the European Commission’s Artificial Intelligence Act In April 2021, the European Commission (EC) published its much-awaited Artificial Intelligence Act (AIA), the first global attempt to establish a legal framework for a technology that, as the AIA states, carries both benefits and risks to humans and society. The Croatian AI Association (CroAI) welcomes the EC’s efforts to...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665590_en,4
Impact AI (France),"Impact AI Position Statement on the proposal for a Regulation of the European Parliament and of the Council laying down harmonised rules on artificial intelligence (Artificial Intelligence Act) 2 Dear Sir/Madam, Impact AI welcomes the European initiative to establish first ever legal framework on Artificial Intelligence (AI) aiming to promote Europe’s innovation capacity in AI while supporting the development and uptake of ethical and...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665589_en,4
Unipol Gruppo S.p.A. (Italy),Please refer to the attached document.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665587_en,4
Philips (Netherlands),Philips welcomes the opportunity to comment on the proposed AI Act. Please see our feedback attached.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665586_en,4
Infineon Technologies AG (Germany),"Overall, Infineon Technologies AG welcomes the fact that the Commission has presented a risk-based approach aiming to regulate AI systems and their effects on economy and society. In our contribution to the upcoming discussion, Infineon focuses primarily on Article 3 (1) and Annex I – i.e. the definition of AI systems. Infineon proposes that the following aspects should be taken into account in the subsequent debate between the Commission, the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665583_en,4
SHERPA Project (United Kingdom),"SHERPA (Shaping the ethical dimensions of smart information systems (SIS) – a European perspective) is a EU-funded project that focuses on ethical and human rights aspects of smart information systems (artificial intelligence and big data analytics). SHERPA believes a robust, mandatory legal framework at the EU level is needed to ensure that ethical issues and human rights concerns related to AI are adequately addressed. Regulatory governance...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665582_en,5
European Evangelical Alliance (Belgium),"Summary The European Evangelical Alliance welcomes the draft AI law the European Commission presented. It is a good start for further negotiations but more needs to be done to protect humanity, both individually and collectively. We would like to see the following applications of AI added to the high-risk category: • Research and Development of certain AI applications: these are not explicitly excluded from the regulation, allowing entities...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665580_en,5
techUK (United Kingdom),Please see attached document.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665579_en,5
Women in AI Austria (Austria),"Women in AI Austria welcomes the opportunity to comment on the proposed Artificial Intelligence Act. We commend the work of the European Commission in developing a framework for artificial intelligence and algorithmic systems. However, we believe there are several areas that require expansion which we seek to bring to your attention, and hope our feedback - submitted as a PDF - contributes to the further refinement of the proposed provisions.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665578_en,5
Open Future Foundation (Netherlands),Please find our comments enclosed.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665576_en,5
European DIGITAL SME Alliance (Belgium),"The European DIGITAL SME Alliance thanks the European Commission for the opportunity to provide feedback on the proposal for a European Act on Artificial intelligence (the AI Act). DIGITAL SME experts who are part of the internal AI & Standards Task Force have prepared comments regarding the AI Act and its potential impact on SMEs, which you can find attached. We are expecting further comments from our members by September in response to...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665574_en,5
Medtronic plc (Ireland),Please find our feedback attached.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665573_en,5
BVI (Germany),BVI welcomes the opportunity to provide its views on the European Commission’s proposal laying down harmonised rules on artificial intelligence. The use of artificial intelligence (AI) and machine learning (ML) in asset management bears great potential. An increasing degree of automation of processes and interfaces has been common practice in the asset management industry for decades and is described with the keywords ‘business process...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665568_en,5
Kancelaria Radców Prawnych Konieczny Wierzbicki (Poland),"Dzień Dobry, Przesyłamy stanowisko Konieczny Wierzbicki Kancelaria Radców Prawnych sp.p. w ramach konsultacji publicznych nad projektem rozporządzenia unijnego ARTIFICIAL INTELLIGENCE ACT.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665567_en,5
Nokia (Belgium),"Nokia congratulates the European Commission on the impressive accomplishment of proposing on 21 April 2021 what effectively constitutes the first regulation on Artificial Intelligence in the world. The proposal is clearly based on a significant amount of research, information rounds and consultations of numerous stakeholders. We regard it as a courageous first take on a topic that is highly debated by a wide variety of specialists. Nokia...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665565_en,5
TIC Council (Belgium),"TIC Council, representing independent Testing, Inspection, and Certification (TIC) companies, welcomes the Commission’s proposal for a Regulation establishing harmonized rules on Artificial Intelligence (AI), which moves toward greater safety and security for European consumers. AI is a fast-evolving technology with many benefits but also many challenges. As independent TIC companies, we are convinced that the safety and security of...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665564_en,6
Beltug (Belgium),"Beltug - VOICE - Cigref - CIO Platform NL - We are the Belgian, Dutch, French and German CIO-associations; the communities of Chief Information Officers (CIO’s) and other senior leaders that are responsible for digital technologies and digital transformations within private or public organisations. We do not represent ICT providers and consultants. Business users of digital technology are a key link in the digital transformation of society...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665563_en,6
OpenForum Europe (Belgium),"We welcome European Commission's draft for the EU Regulation on AI and support the regulatory approach taken, yet point to some issues that need to clarified. Those include: the definition of AI needs further clarification; the scope of the Regulation should be clear for open source developers; harmonised standards should be a basis for demonstrating compliance and should be preferred over Codes of Conduct; common specifications should be...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665562_en,6
Digital Therapeutics Alliance (United States),Please see attached document.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665561_en,6
Infineon Technologies AG (Germany),"Overall, Infineon Technologies AG welcomes the fact that the Commission has presented a risk-based approach aiming to regulate AI systems and their effects on economy and society. In our contribution to the upcoming discussion, Infineon focuses primarily on Article 3 (1) and Annex I – i.e. the definition of AI systems. Infineon proposes that the following aspects should be taken into account in the subsequent debate between the Commission, the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665559_en,6
"Compliant and Accountable Systems group, University of Cambridge (United Kingdom)","We are academics in the Compliant & Accountable Systems research group, University of Cambridge. We seek to highlight issues with the Regulation regarding AI services; where a company places on the market an AI system as-a-service (AIaaS). AIaaS systems are typically generic and broadly defined (e.g. ‘object recognition’). Customers use the provider’s API to implement the AIaaS system’s functionality in their own applications and processes...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665558_en,6
Microsoft Corporation (United States),"Microsoft applauds the Commission for its leadership in developing a regulatory framework for the responsible development and use of artificial intelligence technologies (“AI”). The Commission’s proposed Regulation for harmonized rules on AI (the “AI Act”), and the New Coordinated Plan on AI, are ambitious and important steps toward making trustworthy AI the norm in Europe and around the world. We share the Commission’s goal to ensure that the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665556_en,6
Trilateral Research (Ireland),"Trilateral Research is a UK and IE-based ethical technology development and research company. Our experienced interdisciplinary teams apply rigorous, cutting-edge research when developing and assessing new technologies to ensure they achieve sustainable innovation and measurable impact. We believe that regulation should be a part of the governance framework for AI, as it will help ensure AI systems are safer, more reliable, and better suited...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665554_en,6
Paris EUROPLACE (France),"Dear Sir/Madam, Please find attached Paris EUROPLACE’s response to the European Commission’s feedback on Artificial intelligence – ethical and legal requirements. Best regards, Olivier Vigna olivier.vigna@paris-europlace.com ID NUMBER 523145616037-10",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665553_en,6
