Organization,Feedback Content,Feedback Link,Page,Feedback reference,Submitted on,Submitted by,User type,Organisation,Organisation size,Transparency register number,Country of origin,Initiative,Additional Message
FEDMA (Belgium),FEDMA previously answered the consultation on the white paper on AI. We would like to share the below insights: • The work of the High-Level Expert Group on criteria for risk assessment and the feedback that they are receiving from the industry should be considered. • Self-learning systems are not new nor is information gathering for a better more objective decision process (e.g. bank loan; better information might often help to get the...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550978_en,4,F550978,10 September 2020,Geraldine PROUST,Business association,FEDMA,Micro (1 to 9 employees),39300567160-02,Belgium,Artificial intelligence – ethical and legal requirements,"FEDMA previously answered the consultation on the white paper on AI. We would like to share the below insights: 
• The work of the High-Level Expert Group on criteria for risk assessment and the feedback that they are receiving from the industry should be considered. 
• Self-learning systems are not new nor is information gathering for a better more objective decision process (e.g. bank loan; better information might often help to get the loan). AI is simply an optimization of both. 
• If personal data is involved, Art 22 GDPR covers the data protection issues. 
• It is of the utmost importance that the GDPR be implemented in a fair and balanced manner. Indeed, legitimate interest and pseudonymization are key GDPR tools for companies to use AI (e.g. cleaning a contact list with a Robinson list). When the industry relies on legitimate interest for processing of personal data, the controller must do a legitimate interest assessment test in 3 steps: (a) is the purpose of the processing legitimate? (b) is the processing necessary? (c) do the interests of the controller override the rights and freedoms of the individual? Currently, legitimate interest is a legal basis which is under growing pressure and the EDPB has started the discussions on guidelines for LI. If the right balance is not met between consent and LI, then many industry sectors, such as data marketing, will disappear or will not be able to use AI, leaving behind a less competitive market dominant by large tech intermediaries.
• FEDMA previously referred to the EUTA High Level Principles on AI. In line with those principles, we have strong reservations about extending legal requirements to all AI applications. As the majority of AI day-to-day applications today are low risk, we urge the EU institutions to conduct a thorough assessment of the existing legislation, especially the civil liability regime, before introducing any new proposals specifically targeting AI-driven technologies and applications. Regarding the possibility of new risk assessment being imposed upon businesses to define whether they are using low or high risk AI applications, we encourage the European Commission to provide a framework for internal risks assessments for low-risk applications, and thoroughly assess who would be responsible for leading external risk assessments for high-risks applications. Indeed, it is likely that external auditors or agencies will need to gain access to sensitive personal data under GDPR to assess the fairness or degree of risk carried out by one AI system Checking the fairness or risks level in any algorithm will necessarily require the use of particularly sensitive data under GDPR, such as those related to sex, ethnicity, age, religion, etc. Soft law and voluntary labelling should be preferred to new regulations where feasible, as they create only marginal administrative burden where binding requirements could create further red tape for EU businesses. At the same time, providing a harmonised EU framework would reduce compliance costs for businesses operating across the EU and avoid a plethora of conflicting AI rules. We need to ensure that the future EU framework is sufficiently flexible so that it is not outdated in a short span of time. We disagree with the Commission’s assessment that the social impact of the future AI framework will be limited, AI will have an extensive positive social impact."
Pharmaceutical Group of the European Union (PGEU) (Belgium),"The Pharmaceutical Group of the European Union (PGEU), the organization representing community pharmacists in 32 European countries, welcomes the European Commission’s Roadmap aimed at addressing a number of ethical and legal issues raised by Artificial Intelligence (AI). We support the Commission’s general objective to ensure the development and uptake of lawful and trustworthy AI across the Single Market through the creation of an ecosystem...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550977_en,4,F550977,10 September 2020,Antonio Grasso,Non-governmental organisation (NGO),Pharmaceutical Group of the European Union (PGEU),Micro (1 to 9 employees),00086317186-42,Belgium,Artificial intelligence – ethical and legal requirements,"The Pharmaceutical Group of the European Union (PGEU), the organization representing community pharmacists in 32 European countries, welcomes the European Commission’s Roadmap aimed at addressing a number of ethical and legal issues raised by Artificial Intelligence (AI). 
We support the Commission’s general objective to ensure the development and uptake of lawful and trustworthy AI across the Single Market through the creation of an ecosystem of  trust. 

As AI applications develop fast, that AI will have a major impact on society and on a wide array of sectors of the economy is no longer a question. 

In the healthcare sector, PGEU acknowledges the value of innovative technologies such AI and Big Data analytics and considers these technologies to be a useful tool to support health professionals and EU health systems. In routine pharmacy practice at national level, we recommend that these tools shall always be accompanied by the supervision of pharmacists’ expert and professional advice, to use them to improve workflow efficiency, while promoting patient safety, therapy effectiveness and offering the highest standard of pharmacy services and pharmaceutical care to patients.

While we see great value in using AI in healthcare for enabling meaningful innovation, supporting health professionals and enhancing patient care, we are aware that it may also entail significant risks, for example in relation to the use of health and patient data. 
In order to fully harness the benefits of AI in healthcare, a key requirement is to develop trust by all stakeholders involved through guaranteeing a high level of data protection. Patient data must be processed under a high level of data protection standards within trustworthy infrastructures that enable the access to secure data services. It also has to be ensured that data access and analysis are amenable to European rules for privacy and data protection. 

Therefore, we consider an EU legislative initiative on AI, as envisaged under most policy options proposed by the Commission in the Roadmap, to be an adequate way forward to address the risks linked to the development and use of certain AI applications. 

We welcome in particular an EU legislative initiative following a risk-based approach as already defined in the White Paper on AI published in February 2020. Taking this into account, we support Commission’s ‘’Option 3’’ proposal in the Roadmap, with a preference for the second sub-option, recommending a EU legislative instrument which could be limited to ‘’high-risk’’ AI applications , including those which are likely to be deployed in the healthcare sector. We would as well support the proposed ‘’Option 4’’, which envisages to implement the sub-option above while taking into account the different level of risks that could be generated by a particular AI application. 

In view of the next steps in addressing ethical and legal issues related to AI, we urge the European Commission to involve community pharmacists, as experienced users of digital health tools, in the formulation of such policies as well as in the development of guidelines and methods on the deployment of AI in healthcare. To provide a full overview of our position on AI, please find attached to this feedback the PGEU Position Paper on Big Data & AI in Healthcare."
Verband der TÜV (VdTÜV) (Germany),"The Association of German Technical Inspection Agencies (Verband der TÜV e.V.) welcomes the Commissions Inception Impact Assessment and would like to provide feedback on the core issues raised. Artificial Intelligence (AI) is a fast evolving technology that can create significant economic and social benefits, but equally entails significant risks to the safety, health and privacy of users. A strong European legal framework is indispensable in...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550976_en,4,F550976,10 September 2020,Elisa Brummel,Business association,Verband der TÜV (VdTÜV),Small (10 to 49 employees),45013506457-28,Germany,Artificial intelligence – ethical and legal requirements,"The Association of German Technical Inspection Agencies (Verband der TÜV e.V.) welcomes the Commissions Inception Impact Assessment and would like to provide feedback on the core issues raised. 
Artificial Intelligence (AI) is a fast evolving technology that can create significant economic and social benefits, but equally entails significant risks to the safety, health and privacy of users. A strong European legal framework is indispensable in order to achieve an ecosystem of trust and to avoid a fragmentation of national rules and initiatives. 
The TÜV-Association strongly supports an EU legislative instrument stipulating mandatory legal requirements for all AI applications (Option 3c). Essential safety and security requirements should be established for all AI applications, regardless of their risk level or intended use. 
Moreover, what is needed is a risk-based approach when it comes to the level (and perhaps type) of mandatory requirements. The higher the risk potential of AI systems, the more stringent the mandatory requirements ought to be. The development of a high-risk category, as proposed in the White Paper on AI, is a valuable basis, but should be complemented by additional risk categories. A mere binary distinction between high-risk and ‘other’ applications does in our opinion not sufficiently reflect the diversity of AI applications.
Equally important to the level of requirements is the way how these requirements are enforced in practice. The TÜV-Association believes that an ex-ante conformity assessment is the best way to ensure that AI systems comply with all relevant legal provisions before they are placed onto the market. AI applications with a substantial risk level should be legally required to undergo certification by independent conformity assessment bodies. A substantial risk level is given when there is a risk to the health and physical integrity of the user or third parties, their privacy, as well as the confidentiality, integrity and availability of their data. For AI applications with a low risk level, the manufacturer/operator should have the choice to demonstrate compliance either through an independent conformity assessment body or through the self-declaration of conformity. 
In addition, it is important to further develop and refine conformity assessment procedures, in particular vis-à-vis specific aspects of AI, and to link them to existing procedures.  
For more information, please consult the attached position paper. 
About us: The TÜV-Association represents the policy and technical interests of its members, the TÜV organisations, who provide conformity assessment and technical services in almost all sectors of industry and commerce. TÜV stands for neutral and independent conformity assessment, such as testing (e.g. of household appliances, food or medical devices), inspection (e.g. of steam boilers, power plants or lifts), certification (e.g. of management systems or consumer products) and validation/verification (e.g. of greenhouse gas emission projects and reports)."
DIGITALEUROPE (Belgium),"DIGITALEUROPE thanks the Commission for this opportunity to provide feedback on the AI Inception Impact Assessment. In our attached contribution, we analyse the various Options proposed by the Commission and give our comments and recommendations.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550975_en,4,F550975,10 September 2020,Jochen MISTIAEN,Business association,DIGITALEUROPE,Small (10 to 49 employees),64270747023-20,Belgium,Artificial intelligence – ethical and legal requirements,"DIGITALEUROPE thanks the Commission for this opportunity to provide feedback on the AI Inception Impact Assessment. In our attached contribution, we analyse the various Options proposed by the Commission and give our comments and recommendations."
Ibec (Ireland),Many thanks for the opportunity to comment. Please attached document.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550974_en,4,F550974,10 September 2020,Erik O DONOVAN,Business association,Ibec,Medium (50 to 249 employees),479468313744-50,Ireland,Artificial intelligence – ethical and legal requirements,Many thanks for the opportunity to comment. Please attached document.
Augmented Law Institute - EDHEC Business School (France),"This is a common statement of the Augmented Law Institute of EDHEC Business School (for the list of Professors composing this group, please click on the link: https://www.edhec.edu/en/legaledhec-research-centre#dexp_tab_item_2063327793). An extended version is attached. In this summary here we report just our main conclusions. Our feedback is based on 3 parts: 1) a definitional part, which aims to reply to the question “what to regulate?”;...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550973_en,4,F550973,10 September 2020,Gianclaudio Malgieri,Academic/research Institution,Augmented Law Institute - EDHEC Business School,Small (10 to 49 employees),,France,Artificial intelligence – ethical and legal requirements,"This is a common statement of the Augmented Law Institute of EDHEC Business School (for the list of Professors composing this group, please click on the link: https://www.edhec.edu/en/legaledhec-research-centre#dexp_tab_item_2063327793).

An extended version is attached. In this summary here we report just our main conclusions.

Our feedback is based on 3 parts: 1) a definitional part, which aims to reply to the question “what to regulate?”; 2) a methodological part, which aims to reply to the question “why regulate?” [Please see the attachment] ; and 3) a content-based part, which aims to reply to the question “how to regulate?”.

A first problem that we observe in the Impact Assessment and in the related White Paper is the lack of clear definitions. In particular, two terms urge to be clearly defined before to proceed:
1. artificial intelligence;
2. risk (to fundamental rights and freedoms, including human health and safety).

""AI"" was defined both in the EC Communication (2018)237 and then re-defined by the HLEG-AI in April 2019. Both the White paper and the Inception Impact Assessment are not clear about which definition of AI should be preferred. However, the implications can be relevant. In particular, since the definition of the Commission’s Communication does not define what “intelligent behaviour” is, there might be problems in understanding the scope of AI notion and whether some technological systems (e.g., Covid-19 Alert Exposure Apps, automatic entrance systems, etc.) are within or outside the scope of “intelligent behaviour”. Accordingly, we propose to prefer the HLEG definition, accompanied by an Annex with a non-exhaustive list of relevant examples of AI systems actually used.

The notion of risk is also very problematic. Section B of the Inception Impact Assessment is largely based on the notion of risk (e.g., options 3 and 4 of the “Alternative options to the baseline scenarios”). However, it is not clear what we should mean by “risk” and how the risk should be assessed for each AI system. We propose to clearly define what “risk” means and which level of severity and likelihood might amount to qualifying as “high risk”. In addition, we propose to use the White Paper’s definition of the severity threshold on “legal or similarly significant effects” to the rights and freedom of the subjects, possibly clarifying examples in an Annex where for each fundamental right or freedom mentioned in the EU Charter of Fundamental Rights there are some examples of legal or similarly significant effects. When analysing risks to fundamental rights and freedoms, particular attention should be dedicated to human health and safety.

In the EU law there are already several different pieces of legislation covering many different areas that are generally very relevant for AI systems (data protection law, anti-discrimination law, consumer protection & product liability law, administrative law): in the attached document we propose possible gaps in these fields that a Regulation on AI could cover and we suggest to consider also risks generated in public institutions.

The impact assessment shows 4 alternative options to regulate AI. Although each approach may have advantages and disadvantages, we consider that the voluntary labelling scheme is inefficient and ineffective for the declared purposes of a regulation on AI. Many other EU legal sectors recognise voluntary labelling scheme but only as an ancillary tool, related to other kinds of regulation. Depending on the definition of high-risk, the approach 3.b might be considered, but only with a clear blacklist of high-risk examples and with easy criteria to identify risks and to correlate each risk to a fundamental right or freedom as recognised by the EU Charter of Fundamental Rights and Freedoms. In addition, any sectoral amendment of existing laws should be advisable (including soft law actions, as amending the unfair commercial practice blacklist, etc.)."
BSA | The Software Alliance (Belgium),"BSA would like to underline the need for the Commission to carry out an in-depth inventory of EU law, and its application to AI, before suggesting possible legislative actions. Consistent with the risk-based, context-specific approach of the White Paper, any proposed legislation should avoid one-size-fits-all mandates. Future proposals should focus on high-risk scenarios where the deployment of AI poses a threat to fundamental rights. The...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550966_en,4,F550966,10 September 2020,Matteo Quattrocchi,Business association,BSA | The Software Alliance,Medium (50 to 249 employees),75039383277-48,Belgium,Artificial intelligence – ethical and legal requirements,"BSA would like to underline the need for the Commission to carry out an in-depth inventory of EU law, and its application to AI, before suggesting possible legislative actions. Consistent with the risk-based, context-specific approach of the White Paper, any proposed legislation should avoid one-size-fits-all mandates. 
Future proposals should focus on high-risk scenarios where the deployment of AI poses a threat to fundamental rights. The scope of any regulatory obligations should be a function of the degree of risk and the potential scope and severity of harm. 
BSA supports an incremental approach by limiting regulation to AI that is deployed in a high risk sector and used in a manner that significant risks are likely to arise. The Commission should extend this two-pronged approach to all possible high-risk scenarios, rather than identifying specific sectors where AI would be considered high-risk by default. Ensuring that the definition of high-risk is appropriately tailored will be critical, it is also crucial to provide a well-determined scope of application. 
Legal requirements for high-risk AI applications should be addressed to the actors best placed to address potential risks. In many cases developers may not know whether the technology is being deployed by an end-user in a manner that meets the definition of high-risk. Developers are better placed to describe the capabilities and limitations of an AI system, while disclosing the possible impact of AI use will typically be the responsibility of the deployer. 
The Commission should draw from existing concepts for establishing which entity is best placed to address potential risk, i.e. the entity that determines the purpose of the AI, similar to the concept of a controller under GDPR. In the context of AI, the AI controller will generally be the deployer. The processor/controller distinction provides organizations with a clear picture of their respective legal obligations, and helps ensure that data subjects rights are adequately protected.
Ensuring that the definitions of the entities involved are the same in different sectors, founded in established practices, would entail a more harmonized approach to AI. 
The Commission should not establish pre-marketing conformity assessment for AI systems, as such obligations are liable to turn into barriers to enter the market, a more scalable approach would be self-attestation.
BSA urges the Commission not to pursue a regulatory scheme based on prescriptive conformity assessment requirements. The risks that AI poses and the appropriate mitigation mechanisms are context-specific. The appropriate mechanisms and standards for training data, record keeping, transparency, accuracy, and human oversight vary depending on the nature and deployment of an AI system. The Commission should therefore avoid creating prescriptive, one-size-fits-all requirements around these categories. 
The Commission should articulate an impact assessment framework on high-risk AI for stakeholders, possibly on the basis of the HLEG ALTAI.
The Commission should consider specific rules for the use of remote biometric identification systems, by the public sector in particular, given the heightened risks inherent in governmental use of this technology.
BSA urges the Commission not to pursue the creation of a blanket voluntary labeling system for all no-high risk systems. Given the diverse range of AI products and services that will not be considered high risk, a one-size-fits-all labeling scheme would be unworkable. The benchmarks for evaluating whether AI systems are trustworthy are likely to be highly variable, driven in large part by system functionality and deployment context. A labelling system that could apply to all no-high risk AI would necessarily be very complex, and would limit customers understanding and engagement. Similarly, the governance of such a scheme would be exceedingly complex and would have to cover very diverse sectors and technologies."
WKO Austria (Austria),"WKO Austria welcomes the opportunity to provide input to the Commission’s Inception Impact Assessment for the upcoming legislative framework on AI. We strongly believe, that it is very important to secure a future-proof framework that will support an innovative and competitive European market, and also too much complexity and over-regulation should be avoided. General remarks: - The term ""AI"" must be clearly and unambiguously defined at...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550965_en,4,F550965,10 September 2020,wolfgang lindner,Business association,WKO Austria,Large (250 or more),10405322962-08,Austria,Artificial intelligence – ethical and legal requirements,"WKO Austria welcomes the opportunity to provide input to the Commission’s Inception Impact Assessment for the upcoming legislative framework on AI. We strongly believe, that it is very important to secure a future-proof framework that will support an innovative and competitive European market, and also too much complexity and over-regulation should be avoided.

General remarks:

- The term ""AI"" must be clearly and unambiguously defined at international level; this is a basic requirement for the design of the legal framework.
- The impacts of future jobs must be taken into account. It will be necessary to have more qualified (technical) ressources and new job profiles.

Options for regulation:

The aim should in any case to avoid complex administrative documentation obligations and legally uncertain considerations of fundamental rights.

WKO perspective has a preference for options 1 and 2 (soft law and voluntary labeling scheme)
Real laboratories could be an option for better regulation. Trial and development phases can help develop the right system of government.

If options 1 and 2 are probably not sufficient to provide an appropriate legal framework for this new technological challenge, it should go rather with option 3.a.
There should only be regulations where there are major risks in the area of application. In all other areas, no further regulation is required, only voluntary exchange and cooperation.
- Option 3b: From a purely technical point of view, it makes little sense to regulate according to the criteria presented in the White Paper (primarily according to economic sector). Any upcoming AI framework should be application-based and not technology-based
- Option 3.c would lead to possible over-regulation"
Anonymous,Liberty Global response to the roadmap (IIA) on Artificial intelligence – ethical and legal requirements (Proposal for a legal act of the European Parliament and the Council laying down requirements for Artificial Intelligence) Liberty Global welcomes the opportunity to comment on the Commission’s roadmap on IIA of a possible initiative aimed at addressing a number of ethical and legal issues raised by AI. Liberty Global supports the...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550964_en,4,F550964,10 September 2020,,,,,,,Artificial intelligence – ethical and legal requirements,"Liberty Global response to the roadmap (IIA) on Artificial intelligence – ethical and legal requirements (Proposal for a legal act of the European Parliament and the Council laying down requirements for Artificial Intelligence)

Liberty Global welcomes the opportunity to comment on the Commission’s roadmap on IIA of a possible initiative aimed at addressing a number of ethical and legal issues raised by AI. Liberty Global supports the Commission’s ultimate objective of ‘fostering the development and uptake of safe and lawful AI that respects fundamental rights across the Single Market by both private and public actors while ensuring inclusive societal outcomes’. In our response to the Commission’s AI White Paper (attached), we gave our support to the Commission’s twin objective of promoting the uptake of AI and of addressing the risks associated with certain uses of this new technology, noting that striking the right balance between the two is key to achieving an optimal outcome. We maintain that position in light of the updated, more precisely-defined objective. 

That objective, in Liberty Global’s opinion, can only be achieved in a balanced way through an EU legislative instrument establishing mandatory requirements for certain types of AI (policy option 3). Liberty Global considers a legislative instrument  appropriate specifically for and limited to ‘high-risk’ AI applications which can be identified on the basis of the two criteria set out in the aforementioned White Paper. In Liberty Global’s view, this approach also covers ‘specific categories’ of AI, such as biometric identification systems (first sub-option), for which extra safeguards are warranted. In order to promote innovation and investment, it is important that a potential legislative instrument create an adequate, high-level framework for the assessment of compliance. The detailed requirements for compliance themselves are then best laid down in Harmonized Standards. Such an approach will not prejudice the adoption of voluntary and industry-led interventions for non-‘high-risk’ applications, which would benefit from the work done by European standardisation organisations in the context of setting detailed requirements for those ‘high-risk’ applications. 

In light of the above, Liberty Global strongly supports the adoption of any potential legislative act on the basis of Article 114 TFEU, as is suggested by the on p. 3 of the IIA. The EU has a long and successful history of balanced legislation on this basis and its predecessors under the Treaties. Legislation, which through harmonisation furthers the (Digital) Single Market, creates the stable regulatory environment that is a prerequisite for innovation and investment – promoting consumer welfare – and at the same time pursues society’s wider interests. The harmonised application of strong and smart internal market regulation, using tools such as Harmonised Standards, gives the EU a global reach to promote values-based innovation in the forthcoming update of AI.

We recommend the Commission to seize this opportunity for the EU to become a leader in the development and uptake of lawful and trustworthy AI. This is only possible if regulatory fragmentation, through the adoption of diverging national approaches is prevented by a strong European approach. 

In our view, the prerequisites for the success of such a strong European approach are that it is technologically neutral, risk-based and laid down by a high-level framework which delegates the setting of detailed requirements for ‘high-risk’ AI applications to the European standards development organisations. This will, in turn, promote the adoption of and adherence to such standards, on a voluntary basis, for AI applications with a more limited risk profile. Through such an approach, European consumers and citizens will ultimately benefit from the swift uptake of values-based AI. For more detail, we refer to our supplementary position paper (attached)."
Technology Industries of Finland (Finland),"Technology Industries of Finland (TIF) represents more than 1,600 companies, active in Finland in various sectors of technology industries. Our member companies cover both developers and deployers of AI. Our main messages are: • There is no one, overarching AI. AI is a set of technologies for processing and extracting value out of data, automating decisions and extracting insights. • According to latest studies, solutions and tools of data...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550962_en,5,F550962,10 September 2020,Jussi Mäkinen,Business association,Technology Industries of Finland,Medium (50 to 249 employees),39705603497-38,Finland,Artificial intelligence – ethical and legal requirements,"Technology Industries of Finland (TIF) represents more than 1,600 companies, active in Finland in various sectors of technology industries. Our member companies cover both developers and deployers of AI. 

Our main messages are: 

• There is no one, overarching AI. AI is a set of technologies for processing and extracting value out of data, automating decisions and extracting insights.
• According to latest studies, solutions and tools of data economy, such as AI will play a major role in the green transformation of the industries. 
• Existing Product Safety legislation is technology-neutral and has stood the test of time. We urge Commission to carefully analyse whether use of AI would call for a piece of technology-specific piece of regulation?
• Instead of technology, the attention should be on data and the purpose of its processing. These define the riskiness of the use case. 
• On assessment of regulatory options, it is wise to apply legislation only when it is needed. However, singling out high-risk cases may prove problematic in terms of predictability and legal certainty. 
• Green transformation and ramping up productivity of European industries are our major challenges. Technology plays a major role when solutions are developed. To achieve this, we need steady and predictable environment for investments.
• Europe needs to remain a predictable member in global value networks and not use regulation for short-sighted leaps. Excellence is best built by building on strengths and agile solutions for European data economy. 

Please see the attachment for detailed comments."
FUJITSU (Belgium),"Fujitsu is one of the leading global ICT companies and the largest in Japan. Europe is at the heart of our global business. 1 Protecting fundamental rights We support the concept of trustworthy AI, based on European values and protecting Fundamental Rights. Fujitsu aims to incorporate ethics in the AI system lifecycle for all ‘high-risk’ AI solutions, consistent with guidance from the EU. We recommend the European Institutions to create...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550961_en,5,F550961,10 September 2020,Marco CANTON,Company/business,FUJITSU,Large (250 or more),441732425040-02,Belgium,Artificial intelligence – ethical and legal requirements,"Fujitsu is one of the leading global ICT companies and the largest in Japan.  Europe is at the heart of our global business.  

1 Protecting fundamental rights

We support the concept of trustworthy AI, based on European values and protecting Fundamental Rights. Fujitsu aims to incorporate ethics in the AI system lifecycle for all ‘high-risk’ AI solutions, consistent with guidance from the EU.
We recommend the European Institutions to create ""An Ecosystem of Trust"" where AI and Ethics can have a key guiding role in the development of new solutions (as set out in the Fujitsu Group AI Commitment ).  
Fujitsu is working on a design-oriented approach, based on our Human-Centric policy. We recognize the importance of ensuring transparency. 

2 Safety

Today, discussions on the safety and risks of AI-powered products have just begun on a sector-by-sector basis, and it is premature to expect then to converge. Today’s discussion is not about the safety requirements that apply to all AIs, but about which cases and sectors AI solutions should be implemented, in particular starting with high-priority areas. 
We would like to emphasize that the scope of the PL Directive should not be expanded to impose liability on AI-based technologies beyond those incorporated into the hardware. Such a change of scope could leave  AI system developers with  the responsibility for problems that they cannot have any control over, and could discourage industries from developing and using AI systems. 

3 Remote biometrics identification

Definition and correct understanding of ‘remote biometric identification’ needs clarification among stakeholders.  
The challenges with remote biometric identification technology, should be discussed separately to the question of its regulation, and without distinguishing between the three perspectives of remote biometrics identification (racial discrimination, abuse and privacy), which might be detrimental to the European market and industry. 
Personal data which biometrics use is already covered in the GDPR, and no new AI-specific regulation is needed. On the other hand, we recognize there is legal uncertainty amongst local regulations defining the use of biometric identification for country safety and security purposes. We strongly believe harmonization would be beneficial. 
We believe it is necessary to create a market environment in which companies that invest in protecting ethics, safety, and privacy do not have a price disadvantage in the market.
 
4 Fujitsu’s opinions on EC’s alternative options to the baseline scenario

Fujitsu would like to stress the importance of balancing innovation and regulation. 
We called it an “AI legislative comfort zone” to overcome the lack of clarity about what is possible and what is not with AI solutions. We support the Commission's proposal to prioritize high-risk AI applications following a risk-based approach based on the existing legislation and standards in sectors. 

In this sense “Option 4”, a combination of soft law, voluntary labelling schemes and EU legislation, establishing mandatory requirements for certain types of AI applications, could be the way forward to tackle the AI related challenges flexibly. 

Labels and standards for AI that are discussed at European level, should be constantly reviewed in cooperation with the international standards bodies, governments and other organizations representing industries, consumers and civil society.

5 Conclusion

Fujitsu strongly encourages the European Commission to pursue an effective AI approach and strategy for the European market, which is able to play a leading role at a global level in strong cooperation and alignment with the Japanese Government. 

We remain convinced that a step-by-step approach, based on the definition of concrete cases and risks, is the baseline. 
A combination of different regulatory tools should be the way forward in order to ensure sufficient flexibility and, at the same time, provide clear rules."
MedTech Europe (Belgium),"Artificial Intelligence (AI) in medical technologies has the potential to deliver on the promise of better healthcare in Europe. To optimise the value of AI in the healthcare sector, policies need to remain flexible and follow the evolution of technological development, allowing space for technology to thrive. Therefore, we at MedTech Europe, the European trade association for the medical technology industry including diagnostics, medical...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550949_en,5,F550949,10 September 2020,Michael STRÜBIN,Business association,MedTech Europe,Small (10 to 49 employees),433743725252-26,Belgium,Artificial intelligence – ethical and legal requirements,"Artificial Intelligence (AI) in medical technologies has the potential to deliver on the promise of better healthcare in Europe. To optimise the value of AI in the healthcare sector, policies need to remain flexible and follow the evolution of technological development, allowing space for technology to thrive. 

Therefore, we at MedTech Europe, the European trade association for the medical technology industry including diagnostics, medical devices and digital health, are keen to bring today our healthcare expertise and perspective to the AI policy conversation via our attached response to the public consultation on an EU legal act for Artificial Intelligence.

We greatly welcome the aim of the European Commission (EC) to address a number of legal and ethical issues, raised by AI, to foster the development and uptake of AI, and to avoid legal fragmentation across Member States. We agree that European citizens need to have confidence that their medical technologies, with or without an AI component, provide a high level of safety and quality for patients. In the medtech sector, the safety and effectiveness of medical device software, including ""AI with an intended medical purpose"", is already addressed through existing, recently reinforced, regulations, i.e. the Medical Device Regulation (EU) 2017/745 (“MDR”) and the In vitro diagnostics Regulation (EU) 2017/746 (“IVDR”).

It is for this reason, that MedTech Europe supports the idea that, while assessing the need for new legislation specific to AI, the application of existing regulations on AI should be taken into account to understand whether any gaps exist, to avoid overlap and conflicting regulations that could cause issues when AI is introduced.

Read our full response attached."
CEMA (Belgium),"CEMA considers the initiative from the European Commission to deal with ethical and legal requirements on AI must be coordinated to take into account: - Initiatives already initiated, for example the revision of the Machinery Directive to take into account new technologies - Initiatives initiated at international level to ensure consistency for our manufacturers CEMA is in favour of Option 1, as it offers the possibility to establish an...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550948_en,5,F550948,10 September 2020,Christophe TISSIER,Trade union,CEMA,Micro (1 to 9 employees),489575310490-58,Belgium,Artificial intelligence – ethical and legal requirements,"CEMA considers the initiative from the European Commission to deal with ethical and legal requirements on AI must be coordinated to take into account:
- Initiatives already initiated, for example the revision of the Machinery Directive to take into account new technologies
- Initiatives initiated at international level to ensure consistency for our manufacturers

CEMA is in favour of Option 1, as it offers the possibility to establish an overall harmonized European framework that takes into account the Human Fundamental Rights and ethical aspects without interfering with specific product regulations that defines e.g. Functional Safety requirements.

For our sector, the Machinery Directive 2006/42/EC already covers safety for those machines using AI-enhancements and/or Machine learning capabilities, since it has technology neutrality as one of its core principles."
